title,metadataStatus,ingestStatus,status,project,sqlVolume,libServerDirectory,primaryIslandoraLocation,secondaryIslandoraLocation,pid,essss,images,ingestDate,latestMetadataUpdate,modified,lastModifiedBadFormat,notes
"[Livro de batismo de escravos, 1749-1763]",Metadata uploaded,Ingested,To be ingested,NEH,,\\libshare.library.vanderbilt.edu\vulibrary\Landers\new_organization\Angela\ESSS\digitalizacao Niteroi\Livros\Gonçalo\Gonçalo 016.1,ESSSS/Brazil/Rio de Janeiro/São Gonçalo/Igreja Matriz de São Gonçalo do Amarante,,essss:75574,75574,151,10/26/17,02/22/18,2018-02-22T00:00:00Z,02/22/18,
"[Livro de batismos de livres, 1764-1774]",Metadata uploaded,Ingested,To be ingested,NEH,,\\libshare.library.vanderbilt.edu\vulibrary\Landers\new_organization\Angela\ESSS\digitalizacao Niteroi\Livros\Gonçalo\Gonçalo 017.1,ESSSS/Brazil/Rio de Janeiro/São Gonçalo/Igreja Matriz de São Gonçalo do Amarante,,essss:75726,75726,136,10/26/17,02/22/18,2018-02-22T00:00:00Z,02/22/18,
"Livro dos Bauptizados dos Pretos desta Freguesia de São Gonçalo, 1725-1740",Metadata uploaded,Ingested,To be ingested,NEH,,\\libshare.library.vanderbilt.edu\vulibrary\Landers\new_organization\Angela\ESSS\digitalizacao Niteroi\Livros\Gonçalo\Gonçalo 018.1,ESSSS/Brazil/Rio de Janeiro/São Gonçalo/Igreja Matriz de São Gonçalo do Amarante,,essss:75863,75863,162,10/26/17,02/22/18,2018-02-22T00:00:00Z,02/22/18,
"Índice de Livro 20 de São Gonçalo, 1792-1813",Metadata in spreadsheet,Ingested,To be ingested,NEH,,\\libshare.library.vanderbilt.edu\vulibrary\Landers\new_organization\Angela\ESSS\digitalizacao Niteroi\Livros\Gonçalo\Gonçalo 019.1,ESSSS/Brazil/Rio de Janeiro/São Gonçalo/Igreja Matriz de São Gonçalo do Amarante ,,essss:76026,76026,110,10/26/17,,2017-10-26T00:00:00Z,10/26/17,
"Livro de batismos de brancos e forros, 1806-1814",Metadata in spreadsheet,Ingested,To be ingested,NEH,,\\libshare.library.vanderbilt.edu\vulibrary\Landers\new_organization\Angela\ESSS\digitalizacao Niteroi\Livros\Gonçalo\Gonçalo 020.1,ESSSS/Brazil/Rio de Janeiro/São Gonçalo/Igreja Matriz de São Gonçalo do Amarante ,,essss:76137,76137,479,10/26/17,,2017-10-26T00:00:00Z,10/26/17,
"[Livro de assentos de bautismos, inventários das coizas da fábrica, e assentos dos defuntos, 1697-1729]",Metadata uploaded,Ingested,Ingested with good metadata,NEH,,\\libshare.library.vanderbilt.edu\vulibrary\Landers\new_organization\Angela\ESSS\digitalizacao Niteroi\Livros\Guapimirim\Guapimirim 001.1,ESSSS/Brazil/Rio de Janeiro/Guapirim/Igreja de Nossa Senhora d'Ajuda de Guapimirim,,essss:2819,2819,95,08/17/17,4/22/18,2018-04-22T00:00:00Z,4/22/18,
"[Livro de assentos de contos de receita e despesa, casamentos, e capítulos de visita, 1727-1743]",Metadata uploaded,Ingested,Ingested with good metadata,NEH,,\\libshare.library.vanderbilt.edu\vulibrary\Landers\new_organization\Angela\ESSS\digitalizacao Niteroi\Livros\Guapimirim\Guapimirim 002.1,ESSSS/Brazil/Rio de Janeiro/Guapirim/Igreja de Nossa Senhora d'Ajuda de Guapimirim,,essss:2604,2604,135,08/17/17,8/23/17,2017-08-23T00:00:00Z,8/23/17,
"Livro de Casamentos de Escravos, 1749-1762",Metadata uploaded,Ingested,Ingested with good metadata,NEH,,\\libshare.library.vanderbilt.edu\vulibrary\Landers\new_organization\Angela\ESSS\digitalizacao Niteroi\Livros\Guapimirim\Guapimirim 004.1,ESSSS/Brazil/Rio de Janeiro/Guapirim/Igreja de Nossa Senhora d'Ajuda de Guapimirim,,essss:2710,2710,23,08/17/17,8/23/17,2017-08-23T00:00:00Z,8/23/17,
"Livro de Testamentos e Óbitos de Livres, 1749-1771",Metadata uploaded,Ingested,Ingested with good metadata,NEH,,\\libshare.library.vanderbilt.edu\vulibrary\Landers\new_organization\Angela\ESSS\digitalizacao Niteroi\Livros\Guapimirim\Guapimirim 005.1,ESSSS/Brazil/Rio de Janeiro/Guapirim/Igreja de Nossa Senhora d'Ajuda de Guapimirim,,essss:2779,2779,45,08/17/17,8/23/17,2017-08-23T00:00:00Z,8/23/17,
"[Óbitos de escravos, 1744-07-10 a 1744-11-26]: Freguesia de Nossa Senhora da Ajuda de Guapimirim",Metadata uploaded,Ingested,Ingested with good metadata,NEH,,\\libshare.library.vanderbilt.edu\vulibrary\Landers\new_organization\Angela\ESSS\digitalizacao Niteroi\Livros\Guapimirim\Guapimirim 006.1,ESSSS/Brazil/Rio de Janeiro/Guapirim/Igreja de Nossa Senhora d'Ajuda de Guapimirim,,essss:2839,2839,3,08/17/17,8/23/17,2017-08-23T00:00:00Z,8/23/17,
