string,material,material1,material2,medium,surface
Gold paint on paper,"['', '', 'Gold paint', 'paper']",,,Gold paint,paper
Gold wash on silver,"['', '', 'Gold wash', 'silver']",,,Gold wash,silver
Gouache,"['Gouache', '', '', '']",Gouache,,,
Gouache on board with punched holes,"['', '', 'Gouache', 'board with punched holes']",,,Gouache,board with punched holes
Gouache on board with punched holes and vellum with punched holes with colored pencil,"['', '', 'Gouache', 'board with punched holes and vellum with punched holes with colored pencil']",,,Gouache,board with punched holes and vellum with punched holes with colored pencil
Gouache on paper,"['', '', 'Gouache', 'paper']",,,Gouache,paper
Gouache on paper with punched holes,"['', '', 'Gouache', 'paper with punched holes']",,,Gouache,paper with punched holes
Gouache with colored pencil,"['', '', '', '']",,,,
Gouache with colored pencil and graphite,"['Gouache with colored pencil', 'graphite', '', '']",Gouache with colored pencil,graphite,,
Graphite and acrylic on collaged papers,"['', '', 'Graphite and acrylic', 'collaged papers']",,,Graphite and acrylic,collaged papers
Graphite and colored pencil on paper,"['', '', 'Graphite and colored pencil', 'paper']",,,Graphite and colored pencil,paper
Graphite and oil on board,"['', '', 'Graphite and oil', 'board']",,,Graphite and oil,board
Graphite and oil on colored paper,"['', '', 'Graphite and oil', 'colored paper']",,,Graphite and oil,colored paper
Graphite and oil on paper,"['', '', 'Graphite and oil', 'paper']",,,Graphite and oil,paper
Graphite and shellac on paper,"['', '', 'Graphite and shellac', 'paper']",,,Graphite and shellac,paper
Graphite and watercolor on paper,"['', '', 'Graphite and watercolor', 'paper']",,,Graphite and watercolor,paper
Graphite ink and debossing on Hannamule,"['', '', 'Graphite ink and debossing', 'Hannamule']",,,Graphite ink and debossing,Hannamule
Graphite ink on debossing on Hannamule,"['', '', 'Graphite ink', 'debossing']",,,Graphite ink,debossing
Graphite on grey paper heightened with white,"['', '', 'Graphite', 'grey paper heightened with white']",,,Graphite,grey paper heightened with white
Graphite on paper,"['', '', 'Graphite', 'paper']",,,Graphite,paper
Graphite on thick wove paper,"['', '', 'Graphite', 'thick wove paper']",,,Graphite,thick wove paper
Graphite on wove paper,"['', '', 'Graphite', 'wove paper']",,,Graphite,wove paper
Graphite powder with gum arabic on paper,"['', '', 'Graphite powder with gum arabic', 'paper']",,,Graphite powder with gum arabic,paper
Graphite with oil on paper,"['', '', 'Graphite with oil', 'paper']",,,Graphite with oil,paper
Graphite with white on colored paper,"['', '', 'Graphite with white', 'colored paper']",,,Graphite with white,colored paper
"Graphite, ink and acrylic on paper","['', '', 'Graphite, ink and acrylic', 'paper']",,,"Graphite, ink and acrylic",paper
Gray earthenware molded and sculpted with traces of pigmentation,"['Gray earthenware molded', 'sculpted with traces of pigmentation', '', '']",Gray earthenware molded,sculpted with traces of pigmentation,,
Grey earthenware,"['', '', '', '']",,,,
Hand colored aquatint,"['', '', '', '']",,,,
"Hand mixed natural pigments, mineral paints and 24k gold on paper","['', '', 'Hand mixed natural pigments, mineral paints and 24k gold', 'paper']",,,"Hand mixed natural pigments, mineral paints and 24k gold",paper
Hand-colored aquatint,"['', '', '', '']",,,,
Hand-colored engraving,"['', '', '', '']",,,,
Hand-colored lithograph,"['', '', '', '']",,,,
Handpainted paper relief,"['', '', '', '']",,,,
"Hard and soft ground etching, engraving, photo etching, and lithograph","['Hard', 'soft ground etching, engraving, photo etching,', '', '']",Hard,"soft ground etching, engraving, photo etching,",,
Hardstone,"['Hardstone', '', '', '']",Hardstone,,,
"Heliogravure with sugar lift, burnishing, and drypoint","['Heliogravure with sugar lift, burnishing,', 'drypoint', '', '']","Heliogravure with sugar lift, burnishing,",drypoint,,
Horn and metal,"['Horn', 'metal', '', '']",Horn,metal,,
"Hunan Black ware, stoneware","['', '', '', '']",,,,
India ink on paper,"['', '', 'India ink', 'paper']",,,India ink,paper
Indigo-dyed cotton--Ikat weave,"['', '', '', '']",,,,
Ink & color on paper,"['', '', 'Ink & color', 'paper']",,,Ink & color,paper
"Ink & color on silk, with wooden covers","['', '', 'Ink & color', 'silk, with wooden covers']",,,Ink & color,"silk, with wooden covers"
"Ink & slight color on paper, bamboo ribs","['', '', 'Ink & slight color', 'paper, bamboo ribs']",,,Ink & slight color,"paper, bamboo ribs"
Ink and Pencil,"['Ink', 'Pencil', '', '']",Ink,Pencil,,
Ink and acrylic on paper,"['', '', 'Ink and acrylic', 'paper']",,,Ink and acrylic,paper
Ink and color on arch-shaped vellum,"['', '', 'Ink and color', 'arch-shaped vellum']",,,Ink and color,arch-shaped vellum
Ink and color on gold leaf,"['', '', 'Ink and color', 'gold leaf']",,,Ink and color,gold leaf
Ink and color on paper,"['', '', 'Ink and color', 'paper']",,,Ink and color,paper
"Ink and color on paper, bamboo ribs","['', '', 'Ink and color', 'paper, bamboo ribs']",,,Ink and color,"paper, bamboo ribs"
"Ink and color on paper, book","['', '', 'Ink and color', 'paper, book']",,,Ink and color,"paper, book"
"Ink and color on paper, with bamboo inner ribs, outer ribs of ivory with gold lacquer","['', '', 'Ink and color', 'paper, with bamboo inner ribs, outer ribs of ivory with gold lacquer']",,,Ink and color,"paper, with bamboo inner ribs, outer ribs of ivory with gold lacquer"
Ink and color on silk,"['', '', 'Ink and color', 'silk']",,,Ink and color,silk
Ink and color on vellum,"['', '', 'Ink and color', 'vellum']",,,Ink and color,vellum
Ink and gold on paper,"['', '', 'Ink and gold', 'paper']",,,Ink and gold,paper
Ink and graphite on paper,"['', '', 'Ink and graphite', 'paper']",,,Ink and graphite,paper
Ink and paper on paper,"['', '', 'Ink and paper', 'paper']",,,Ink and paper,paper
Ink and slight color on paper,"['', '', 'Ink and slight color', 'paper']",,,Ink and slight color,paper
Ink and slight color on silk,"['', '', 'Ink and slight color', 'silk']",,,Ink and slight color,silk
Ink and wash on paper,"['', '', 'Ink and wash', 'paper']",,,Ink and wash,paper
"Ink and wash, heightened with white on paper","['', '', 'Ink and wash, heightened with white', 'paper']",,,"Ink and wash, heightened with white",paper
"Ink on Japanese paper, stencil print","['', '', 'Ink', 'Japanese paper, stencil print']",,,Ink,"Japanese paper, stencil print"
Ink on mica paper,"['', '', 'Ink', 'mica paper']",,,Ink,mica paper
Ink on paper,"['', '', 'Ink', 'paper']",,,Ink,paper
Ink on paper hanging scroll,"['', '', 'Ink', 'paper hanging scroll']",,,Ink,paper hanging scroll
Ink on paper laid down on silk,"['', '', 'Ink', 'paper laid down']",,,Ink,paper laid down
Ink on paper mounted on cardboard,"['', '', 'Ink', 'paper mounted']",,,Ink,paper mounted
Ink on silk,"['', '', 'Ink', 'silk']",,,Ink,silk
Ink rubbing,"['', '', '', '']",,,,
Ink wash on paper,"['', '', 'Ink wash', 'paper']",,,Ink wash,paper
