qid,searched,matches,after_work_by,school_of,workshop_of,last_first,description,name,creator_string
Q98765930,yes,yes,,,,"Bird, Jim","British painter, born 1937",Jim Bird,"[""Bird, Jim (British painter, born 1937)""]"
Q26924921,yes,yes,,,,"Birker, Joop",1935-1993,Joop Birker,"[""Birker, Joop (1935-1993)""]"
Q16995114,yes,yes,,,,"Bishop, Isabel","American painter and etcher, 1902-1988",Isabel Bishop,"[""Bishop, Isabel (American painter and etcher, 1902-1988)""]"
Q94760542,yes,yes,,,,"Bisschop, Jan de","Dutch draftsman and etcher, 1628-1671",Jan de Bisschop,"[""Bisschop, Jan de (Dutch draftsman and etcher, 1628-1671)""]"
,yes,no,,,,"Blakeley, Fannie B.",,Fannie B. Blakeley,"[""Blakeley, Fannie B.""]"
,yes,no,,,,"Blakstad, Rolph","1929-, born Vancouver, Canada",Rolph Blakstad,"[""Blakstad, Rolph (1929-, born Vancouver, Canada)""]"
Q4794962,yes,yes,,,,"Blanch, Arnold","American painter, 1896-1968",Arnold Blanch,"[""Blanch, Arnold (American painter, 1896-1968)""]"
Q1711445,yes,yes,,,,"Bleckner, Ross","American painter, born 1949",Ross Bleckner,"[""Bleckner, Ross (American painter, born 1949)""]"
Q1880444,yes,yes,,,,"Bleker, Gerrit Claesz","Dutch painter, active by 1625, died 1656",Gerrit Claesz Bleker,"[""Bleker, Gerrit Claesz (Dutch painter, active by 1625, died 1656)""]"
,yes,no,,,,"Blocker, Mare",,Mare Blocker,"[""Blocker, Mare""]"
Q76335886,yes,yes,,,,"Bloemaert, Abraham and Saenredam, Jan",,Abraham Bloemaert,"[""Bloemaert, Abraham and Saenredam, Jan ""]"
,yes,yes,,,,"Blum, Dorothea",,Dorothea Blum,"[""Blum, Dorothea""]"
Q94921903,yes,yes,,,,"Blum, Robert Frederick","American painter, draftsman, and etcher, 1857-1903",Robert Frederick Blum,"[""Blum, Robert Frederick (American painter, draftsman, and etcher, 1857-1903)""]"
Q1730518,yes,yes,,,,"Bodmer, Karl","Swiss painter and graphic artist, 1809-1893",Karl Bodmer,"[""Bodmer, Karl (Swiss painter and graphic artist, 1809-1893)""]"
,yes,no,,,,"Boichard, S.",,S. Boichard,"[""Boichard, S.""]"
Q1608030,yes,yes,,,,"Boizot, Simon-Louis","French sculptor, 1743-1809",Simon-Louis Boizot,"[""Boizot, Simon-Louis (French sculptor, 1743-1809)""]"
Q374039,yes,yes,,,,"Bol, Ferdinand","Dutch history and portrait painter, 1616-1680",Ferdinand Bol,"[""Bol, Ferdinand (Dutch history and portrait painter, 1616-1680)""]"
,yes,no,,,,"Bolotin, Jay","1949-, born Fayette County, KY",Jay Bolotin,"[""Bolotin, Jay (1949-, born Fayette County, KY)""]"
Q2288622,yes,yes,,,,"Bolswert, Schelte","Dutch painter and engraver, ca. 1586-1659",Schelte Bolswert,"[""Bolswert, Schelte (Dutch painter and engraver, ca. 1586-1659)""]"
